Puissance reçue par le satellite;interférence reçue par le satellite;C / N+I
-108.46437343393177;-104.7576841748025;-3.706689259129263
-108.38588256662803;-104.66990676098038;-3.715975805647645
-108.30866858877613;-104.58169752385871;-3.7269710649174215
-108.23282743053943;-104.49307761577256;-3.739749814766867
-108.15845759432278;-104.40406802392872;-3.7543895703940677
-108.08565995273767;-104.3146894535674;-3.770970499170275
-108.01453751235817;-104.22496221989446;-3.7895752924637094
-107.94519514196247;-104.13490615454064;-3.8102889874218278
-107.87773926430282;-104.04454053333532;-3.8331987309674957
-107.81227751087067;-103.9538840332723;-3.8583934775983693
-107.74891833960604;-103.86295472767154;-3.8859636119345
-107.68777061606642;-103.77177012967101;-3.9160004863954043
-107.62894315918058;-103.6803472952853;-3.948595863895278
-107.57254425339988;-103.58870299828853;-3.983841255111358
-107.51868112977306;-103.49685399006557;-4.021827139707483
-107.46745941923123;-103.40481735825507;-4.0626420609761595
-107.41898258214042;-103.31261099840582;-4.1063715837345995
-107.37335131894014;-103.22025421288778;-4.153097106052357
-107.33066296743638;-103.12776845084812;-4.202894516588259
-107.29101089299988;-103.0351782019643;-4.255832691035579
-107.25448387854078;-102.94251205500984;-4.311971823530939
-107.22116552164121;-102.84980392969132;-4.371361591949892
-107.19113364661939;-102.75709448672379;-4.434039159895605
-107.16445973953014;-102.66443271656286;-4.500027022967288
-107.14120841418634;-102.57187770152301;-4.56933071266333
-107.1214369171669;-102.47950053908667;-4.641936378080231
-107.10519467947526;-102.387386406023;-4.717808273452263
-107.09252292201202;-102.29563673348026;-4.796886188531758
-107.08345432133765;-102.20437145256652;-4.879082868771135
-107.078012741333;-102.11373125824136;-4.964281483091639
-107.07621303533946;-102.02387982685775;-5.052333208481713
-107.07806092220068;-101.9350059098128;-5.143055012387876
-107.08355293837275;-101.84732521300978;-5.236227725362966
-107.09267646693888;-101.76108195992825;-5.331594507010635
-107.10540984302321;-101.67655002591627;-5.4288598171069395
-107.12172253375746;-101.59403352396117;-5.5276890097962905
-107.14157538968169;-101.51386671889247;-5.627708670789218
-107.16492096326763;-101.43641314910818;-5.728507814159457
-107.1917038891992;-101.36206384388467;-5.829640045314534
-107.22186132012797;-101.29123454146014;-5.930626778667829
-107.2553234108949;-101.22436183941022;-6.030961571484681
-107.29201384365695;-101.16189824492639;-6.130115598730555
-107.3318503860101;-101.10430613831528;-6.227544247694823
-107.37474547403664;-101.0520507172469;-6.322694756789744
-107.42060681223455;-101.0055920497187;-6.4150147625158525
-107.46933798248571;-100.96537642693417;-6.503961555551541
-107.52083905457008;-100.93182726865575;-6.589011785914323
-107.57500719122214;-100.90533588764171;-6.669671303580429
-107.6317372413148;-100.88625246064255;-6.745484780672243
-107.69092231543178;-100.8748775756002;-6.816044739831582
-107.75245433882105;-100.87145472378965;-6.880999615031399
-107.81622457748358;-100.87616407911975;-6.9400604983638345
-107.88212413392324;-100.88911785476398;-6.99300627915926
-107.95004440984573;-100.91035745250502;-7.039686957340706
-108.01987753382386;-100.93985252822152;-7.080025005602337
-108.09151675263857;-100.97750199544741;-7.114014757191157
-108.16485678563754;-101.02313688676871;-7.141719898868828
-108.23979414202716;-101.07652489881686;-7.1632692432103084
-108.31622740152139;-102.00770219926802;-6.308525202253364
-108.3940574592053;-102.07321426890623;-6.3208431902990725
-108.47318773584027;-102.14670646017;-6.326481275670275
